"ID","NEW_SMILES","Vina_scores","LeDock_scores"
"CHEMBL3087498","CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)CC1OC(n2cc(Br)c3c(=N)[nH]cnc32)C(O)C1O",-8.387,-9.98
"CHEMBL2171169","CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)CC1OC(n2cnc3c(=N)[nH]cnc32)C(O)C1O",-9.159,-9.56
"CHEMBL83747","O=C(NCCSSCCNC(=O)C(Cc1ccc(O)c(Br)c1)=NO)C(Cc1ccc(O)c(Br)c1)=NO",-8.214,-11.14
"CHEMBL4215326","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OC1CC2(C1)CN(C)C2",-9.798,-8.68
"CHEMBL1201129","N=c1ncn(C2CC(O)C(CO)O2)c(=O)[nH]1",-6.846,-6.32
"CHEMBL4208004","COc1cc2c(=NCC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.307,-8.75
"CHEMBL4212905","CCc1ccc(-c2cc(=NCC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1",-8.922,-8.74
"CHEMBL418052","N=c1[nH]cnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O",-7.922,-9.27
"CHEMBL4208010","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCC1CCNCC1",-9.88,-8.72
"CHEMBL4211688","CCc1ccc(-c2cc(=NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1",-9.305,-8.19
"CHEMBL4215862","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OC1CC2(C1)CN(C(C)C)C2",-9.776,-8.31
"CHEMBL4203133","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCC1CCN(C)CC1",-9.872,-8.64
"CHEMBL1564869","O=C(O)C(Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O",-9.174,-6.13
"CHEMBL3126646","Cc1cc(=Nc2cccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)c2)[nH]c(=N)[nH]1",-11.167,-11.13
"CHEMBL4208812","COc1cc2c(=NC3CCC34CCN(C)CC4)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.691,-8.79
"CHEMBL4163329","COc1cc2c(=NC3CCNCC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.354,-8.82
"CHEMBL4206035","COc1cc2c(=NC3CC4(CCN(C)CC4)C3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.429,-8.84
"CHEMBL4588797","N#Cc1cn(C2OC(CSCCC(N)C(=O)O)C(O)C2O)c2[nH]cnc(=N)c12",-9.42,-9.81
"CHEMBL4856184","COc1cc2c(=NCC3CCN(Cc4ccc(C(O)=NO)cc4)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.27,-10.28
"CHEMBL4216593","COc1cc2c(=NC3CC4(CCN(C(C)C)CC4)C3)cc(-c3ccc(C)o3)[nH]c2cc1OC1CC2(C1)CN(C)C2",-10.477,-8.62
"CHEMBL4216144","COc1cc2c(=NC3CC4(CCN(C)C4)C3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.514,-8.4
"CHEMBL4213346","COc1cc2c(=NC3CC4(CCN(C)CC4)C3)cc(-c3ccc(C)o3)[nH]c2cc1OCC1CCN(C)CC1",-10.186,-9.2
"CHEMBL4203647","COc1cc2c(=NCC3CCN(C(C)C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.498,-8.52
