SMILES,DATABASE,ID,PROGRAM,FRAGMENTS,DATASET,PROGRAM_SCORE,SMILES_chiral,SMILES_no_chiral,HBA,HBD,RB,LogP,TPSA,MW,QED,SA,LeDock_scores,Vina_scores,HAC,LE_LeDock,LE_Vina,DTM,Quartile,SVM + RDK,FFNN + Morgan,SCAFFOLD
O=C(NCCCO)c1cc(-c2ccco2)nc2cc(C(F)(F)F)nn12,AB_CDDNMT,ABCDT01_01,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,O=C(NCCCO)c1cc(-c2ccco2)nc2cc(C(F)(F)F)nn12,O=C(NCCCO)c1cc(-c2ccco2)nc2cc(C(F)(F)F)nn12,6,2,5,2.1202999999999994,92.66,354.288,0.685,2.644,-7.89,-9.513,25,-0.3156,-0.38052,0.8744997999062121,Q4,0,1,c1coc(-c2ccn3nccc3n2)c1
CC(=O)C(O)OCN=c1[nH]c(-c2cc(OC(=O)O)ccc2Br)nc2ccccc12,AB_CDDNMT,ABCDT01_02,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,CC(=O)C(O)OCN=c1[nH]c(-c2cc(OC(=O)O)ccc2Br)nc2ccccc12,CC(=O)C(O)OCN=c1[nH]c(-c2cc(OC(=O)O)ccc2Br)nc2ccccc12,7,3,6,2.831400000000001,134.10000000000002,462.2560000000001,0.291,3.709,-8.74,-9.88,29,-0.30137931,-0.340689655,0.8832747316570795,Q4,0,0,N=c1[nH]c(-c2ccccc2)nc2ccccc12
CN=c1[nH]c(-c2ccccc2)nc2c1C(=O)CC(F)(N1CCN(C(C)=O)CC1)C2,AB_CDDNMT,ABCDT01_03,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,CN=c1[nH]c(-c2ccccc2)nc2c1C(=O)CC(F)(N1CCN(C(C)=O)CC1)C2,CN=c1[nH]c(-c2ccccc2)nc2c1C(=O)CC(F)(N1CCN(C(C)=O)CC1)C2,5,1,2,1.5659999999999998,81.66,397.4540000000002,0.78,3.766,-6.83,-9.897,29,-0.235517241,-0.341275862,0.8917506887422286,Q4,0,0,N=c1[nH]c(-c2ccccc2)nc2c1C(=O)CC(N1CCNCC1)C2
O=COCCCCCCN=c1[nH]c(-c2ccc(Cl)cc2)nc2ccccc12,AB_CDDNMT,ABCDT01_04,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,O=COCCCCCCN=c1[nH]c(-c2ccc(Cl)cc2)nc2ccccc12,O=COCCCCCCN=c1[nH]c(-c2ccc(Cl)cc2)nc2ccccc12,4,1,9,4.517400000000004,67.34,383.8790000000001,0.436,2.755,-7.61,-8.34,27,-0.281851852,-0.308888889,0.8995019070640177,Q4,0,0,N=c1[nH]c(-c2ccccc2)nc2ccccc12
CC(=O)NCC=Cn1c(-c2ccccc2)n[nH]c1=NCCCCCCOC=O,AB_CDDNMT,ABCDT01_05,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,CC(=O)NCC=Cn1c(-c2ccccc2)n[nH]c1=NCCCCCCOC=O,CC(=O)NCC=Cn1c(-c2ccccc2)n[nH]c1=NCCCCCCOC=O,6,2,12,2.1190999999999995,101.37,385.4680000000004,0.432,3.345,-8.74,-8.11,28,-0.312142857,-0.289642857,0.8849081999512214,Q4,0,0,N=c1[nH]nc(-c2ccccc2)[nH]1
CCCCNC(c1ccccc1)S(=O)(=O)Cc1ccc(C(=O)NCCl)s1,AB_CDDNMT,ABCDT01_06,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,CCCCNC(c1ccccc1)S(=O)(=O)Cc1ccc(C(=O)NCCl)s1,CCCCNC(c1ccccc1)S(=O)(=O)Cc1ccc(C(=O)NCCl)s1,5,2,10,3.677500000000002,75.27,414.98,0.353,3.313,-8.66,-7.267,26,-0.333076923,-0.2795,0.9053913090155272,Q4,0,1,O=S(=O)(Cc1ccccc1)Cc1cccs1
CN=c1cc(-c2ccco2)[nH]c(-c2cc(OC=O)ccc2Br)n1,AB_CDDNMT,ABCDT01_07,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,CN=c1cc(-c2ccco2)[nH]c(-c2cc(OC=O)ccc2Br)n1,CN=c1cc(-c2ccco2)[nH]c(-c2cc(OC=O)ccc2Br)n1,5,1,4,3.164900000000001,80.48,374.194,0.712,3.3,-6.87,-8.096,23,-0.298695652,-0.352,0.9088227331117372,Q4,0,0,N=c1cc(-c2ccco2)[nH]c(-c2ccccc2)n1
CCCCCNC(CCCCCCOC=O)S(=O)(=O)Cc1ccc(C(=O)NCCl)s1,AB_CDDNMT,ABCDT01_08,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,CCCCCNC(CCCCCCOC=O)S(=O)(=O)Cc1ccc(C(=O)NCCl)s1,CCCCCNC(CCCCCCOC=O)S(=O)(=O)Cc1ccc(C(=O)NCCl)s1,7,2,18,3.818400000000002,101.57,481.08000000000015,0.143,3.687,-8.71,-6.621,30,-0.290333333,-0.2207,0.9060165093575828,Q4,0,1,c1ccsc1
NCC(CC1CC1)CC1CN(c2coc3cc(C=CCOC(=O)O)ccc3c2=O)C1,AB_CDDNMT,ABCDT01_09,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,NCC(CC1CC1)CC1CN(c2coc3cc(C=CCOC(=O)O)ccc3c2=O)C1,NCC(CC1CC1)CC1CN(c2coc3cc(C=CCOC(=O)O)ccc3c2=O)C1,6,2,9,3.7021000000000015,106,412.4860000000002,0.605,3.667,-6.85,-7.066,30,-0.228333333,-0.235533333,0.883978046,Q4,0,0,O=c1c(N2CC(CCCC3CC3)C2)coc2ccccc12
Cc1cccc(-n2c(-c3ccccc3)n[nH]c2=NC2CN(C)CC2OC=O)c1,AB_CDDNMT,ABCDT01_10,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,Cc1cccc(-n2c(-c3ccccc3)n[nH]c2=NC2CN(C)CC2OC=O)c1,Cc1cccc(-n2c(-c3ccccc3)n[nH]c2=NC2CN(C)CC2OC=O)c1,6,1,5,1.93212,75.50999999999999,377.4480000000002,0.69,3.839,-7.01,-7.564,28,-0.250357143,-0.270142857,0.889489813,Q4,0,0,c1ccc(-c2n[nH]c(=NC3CCNC3)n2-c2ccccc2)cc1
