SCAFFOLD,AMOUNT,FREQUENCY,DATABASE,DNMT1,LigBuilder,AlvaBuilder
ACYCLIC,40,5.383580081,DNMT1,DNMT1 = 40 (5.38%),denovoLig = 19 (0.76%),denovoAlva = 154 (2.76%)
O=C(NCCc1ccccc1)c1ccccc1,29,3.903095559,DNMT1,DNMT1 = 29 (3.90%),denovoLig = missing,denovoAlva = 5 (0.09%)
N=C(Cc1ccccc1)C(=O)NCCSSCCNC(=O)C(=N)Cc1ccccc1,24,3.230148048,DNMT1,DNMT1 = 24 (3.23%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(=NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3[nH]2)c1,15,2.01884253,DNMT1,DNMT1 = 15 (2.02%),denovoLig = missing,denovoAlva = missing
c1ccc(CCCN=c2[nH]cnc3cc(OCC4CCN(CCN=c5cc[nH]c6ccccc56)CC4)ccc23)cc1,11,1.480484522,DNMT1,DNMT1 = 11 (1.48%),denovoLig = missing,denovoAlva = missing
O=C1C=CC(=O)N1CCc1ccc(-n2nnc(-c3ccccc3)n2)cc1,10,1.34589502,DNMT1,DNMT1 = 10 (1.35%),denovoLig = missing,denovoAlva = missing
N=c1[nH]cnc2c1ncn2C1CCC(CSC2CCNC2)O1,9,1.211305518,DNMT1,DNMT1 = 9 (1.21%),denovoLig = missing,denovoAlva = missing
c1ccc(CCN=c2[nH]cnc3cc(OCC4CCN(CCN=c5cc[nH]c6ccccc56)CC4)ccc23)cc1,9,1.211305518,DNMT1,DNMT1 = 9 (1.21%),denovoLig = missing,denovoAlva = missing
N=c1[nH]cnc2c1ncn2C1CCCO1,8,1.076716016,DNMT1,DNMT1 = 8 (1.08%),denovoLig = missing,denovoAlva = missing
c1ccc(C2=NOCC2)cc1,6,0.807537012,DNMT1,DNMT1 = 6 (0.81%),denovoLig = missing,denovoAlva = missing
c1ccc(C2=NOC3CNCC23)cc1,6,0.807537012,DNMT1,DNMT1 = 6 (0.81%),denovoLig = missing,denovoAlva = missing
c1ccc(C2=NOC3(CCNC3)C2)cc1,5,0.67294751,DNMT1,DNMT1 = 5 (0.67%),denovoLig = missing,denovoAlva = missing
O=C1N=C(Cc2ccccc2)C(=O)N1c1ccccc1,5,0.67294751,DNMT1,DNMT1 = 5 (0.67%),denovoLig = missing,denovoAlva = 1 (0.02%)
c1coc(-c2cc(=NCC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3[nH]2)c1,4,0.538358008,DNMT1,DNMT1 = 4 (0.54%),denovoLig = missing,denovoAlva = missing
O=S(=O)(Nc1ccccc1)c1ccc(NN=Cc2ccccc2)cc1,4,0.538358008,DNMT1,DNMT1 = 4 (0.54%),denovoLig = missing,denovoAlva = missing
c1ccc2[nH]ccc2c1,4,0.538358008,DNMT1,DNMT1 = 4 (0.54%),denovoLig = missing,denovoAlva = 3 (0.05%)
N=c1ccn(C2CCCO2)c(=O)[nH]1,4,0.538358008,DNMT1,DNMT1 = 4 (0.54%),denovoLig = missing,denovoAlva = missing
c1ccc(Cc2ccccc2)cc1,4,0.538358008,DNMT1,DNMT1 = 4 (0.54%),denovoLig = 1 (0.04%),denovoAlva = 4 (0.07%)
c1ccc(CC2=NOC3CNCC23)cc1,4,0.538358008,DNMT1,DNMT1 = 4 (0.54%),denovoLig = missing,denovoAlva = missing
c1ccc(C2CCNCC2)cc1,4,0.538358008,DNMT1,DNMT1 = 4 (0.54%),denovoLig = missing,denovoAlva = missing
c1ccc(CC2=NOCC2)cc1,4,0.538358008,DNMT1,DNMT1 = 4 (0.54%),denovoLig = missing,denovoAlva = missing
N=c1[nH]ccc(=Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)cc2)[nH]1,4,0.538358008,DNMT1,DNMT1 = 4 (0.54%),denovoLig = missing,denovoAlva = missing
c1ccc(C2(c3nn[nH]n3)CCNCC2)cc1,4,0.538358008,DNMT1,DNMT1 = 4 (0.54%),denovoLig = missing,denovoAlva = missing
c1ccc(-c2ccc(CCN=c3[nH]cnc4c3ncn4C3CCC(CSC4CCNC4)O3)cc2)cc1,4,0.538358008,DNMT1,DNMT1 = 4 (0.54%),denovoLig = missing,denovoAlva = missing
c1cc(=NC2CCNCC2)c2ccc(OCCCN3CCCC3)cc2[nH]1,3,0.403768506,DNMT1,DNMT1 = 3 (0.40%),denovoLig = missing,denovoAlva = missing
O=C(Nc1ccccc1)c1ccc(N=c2cc[nH]c3ccccc23)cc1,3,0.403768506,DNMT1,DNMT1 = 3 (0.40%),denovoLig = missing,denovoAlva = 1 (0.02%)
O=C(Nc1ccc(N=c2cc[nH]c3ccccc23)cc1)c1cccc(Nc2cc[nH+]cc2)c1,3,0.403768506,DNMT1,DNMT1 = 3 (0.40%),denovoLig = missing,denovoAlva = missing
O=C1C=CC(=O)N1Cc1c[nH]c2ccccc12,3,0.403768506,DNMT1,DNMT1 = 3 (0.40%),denovoLig = missing,denovoAlva = missing
O=c1c(=Cc2ccccc2)sc2n1C(c1ccccc1)C=CN=2,3,0.403768506,DNMT1,DNMT1 = 3 (0.40%),denovoLig = missing,denovoAlva = missing
c1ccc(CN=c2[nH]cnc3c2ncn3C2CCCO2)cc1,3,0.403768506,DNMT1,DNMT1 = 3 (0.40%),denovoLig = missing,denovoAlva = missing
O=C(Nc1cccc(Nc2cc[nH+]cc2)c1)c1ccc(N=c2cc[nH]c3ccccc23)cc1,3,0.403768506,DNMT1,DNMT1 = 3 (0.40%),denovoLig = missing,denovoAlva = missing
O=C(C=Cc1ccccc1)CC(=O)C=Cc1ccccc1,3,0.403768506,DNMT1,DNMT1 = 3 (0.40%),denovoLig = missing,denovoAlva = missing
N=c1nc[nH]c2c1ncn2C1CCCO1,3,0.403768506,DNMT1,DNMT1 = 3 (0.40%),denovoLig = missing,denovoAlva = missing
