"LogD","All_fragments","Counts","All_fragments_h","AMW","SMILES_H"
-0.235,"*CC(*)=O",25,"CC=O",44.053,"[H]C(=O)C([H])([H])[H]"
2.1,"*c1ccccc1",20,"c1ccccc1",78.11399999999999,"[H]c1c([H])c([H])c([H])c([H])c1[H]"
2.218,"*C(C)C",14,"CCC",44.096999999999994,"[H]C([H])([H])C([H])([H])C([H])([H])[H]"
1.094,"*c1ccco1",11,"c1ccoc1",68.07499999999999,"[H]c1oc([H])c([H])c1[H]"
1.833,"*c1cc(*)c2cc(OC)c(OC)cc2n1",11,"COc1cc2cccnc2cc1OC",189.21399999999997,"[H]c1nc2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2c([H])c1[H]"
2.269,"*c1ccc(CC)o1",10,"CCc1ccco1",96.12899999999998,"[H]c1oc(C([H])([H])C([H])([H])[H])c([H])c1[H]"
1.362,"*c1ccccc1C(=O)O",9,"O=C(O)c1ccccc1",122.12299999999996,"[H]OC(=O)c1c([H])c([H])c([H])c([H])c1[H]"
-0.401,"*OC",8,"CO",32.042,"[H]OC([H])([H])[H]"
-0.414,"*C(=O)c1cnc(*)nc1",7,"O=Cc1cncnc1",108.09999999999998,"[H]C(=O)c1c([H])nc([H])nc1[H]"
0.718,"*C(=O)C(=C)C",7,"C=C(C)C=O",70.091,"[H]C(=O)C(=C([H])[H])C([H])([H])[H]"
1.028,"*Nc1ccccc1C(*)=O",6,"Nc1ccccc1C=O",121.13899999999998,"[H]C(=O)c1c([H])c([H])c([H])c([H])c1N([H])[H]"
-0.418,"*OCC",6,"CCO",46.069,"[H]OC([H])([H])C([H])([H])[H]"
0.912,"*Nc1ccc(*)cc1",5,"Nc1ccccc1",93.12899999999999,"[H]c1c([H])c([H])c(N([H])[H])c([H])c1[H]"
0.683,"*c1ccc(S(*)(=O)=O)cc1[N+](=O)[O-]",5,"O=[N+]([O-])c1cccc([SH](=O)=O)c1",187.176,"[H]c1c([H])c([N+](=O)[O-])c([H])c(S([H])(=O)=O)c1[H]"
-0.657,"*CC(=O)O",5,"CC(=O)O",60.05200000000001,"[H]OC(=O)C([H])([H])[H]"
2.237,"*c1cc(*)c2cc(OC)c(OC3CC4(C3)CN(C)C4)cc2n1",5,"COc1cc2cccnc2cc1OC1CC2(C1)CN(C)C2",284.359,"[H]c1nc2c([H])c(OC3([H])C([H])([H])C4(C([H])([H])N(C([H])([H])[H])C4([H])[H])C3([H])[H])c(OC([H])([H])[H])c([H])c2c([H])c1[H]"
0.871,"*C(=O)c1cc(O)cc(O)c1",4,"O=Cc1cc(O)cc(O)c1",138.12199999999999,"[H]Oc1c([H])c(O[H])c([H])c(C([H])=O)c1[H]"
2.456,"*CC1CCN(c2ncc(C(*)=O)cn2)CC1",4,"CC1CCN(c2ncc(C=O)cn2)CC1",205.26099999999997,"[H]C(=O)c1c([H])nc(N2C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C2([H])[H])nc1[H]"
0.683,"*Cc1cn(*)nc1*",4,"Cc1cn[nH]c1",82.106,"[H]c1nn([H])c([H])c1C([H])([H])[H]"
1.069,"*C(=O)Cc1cccs1",4,"O=CCc1cccs1",126.17999999999998,"[H]C(=O)C([H])([H])c1sc([H])c([H])c1[H]"
-1.381,"*OCC(*)=O",4,"O=CCO",60.052,"[H]OC([H])([H])C([H])=O"
1.138,"*C1CC1",4,"C1CC1",42.080999999999996,"[H]C1([H])C([H])([H])C1([H])[H]"
1.782,"*Cc1cc(C)n(*)c1C",3,"Cc1cc(C)c(C)[nH]1",109.172,"[H]c1c(C([H])([H])[H])c(C([H])([H])[H])n([H])c1C([H])([H])[H]"
0.816,"*NC(=S)Nc1ccc(S(*)(=O)=O)cc1",3,"NC(=S)Nc1ccc([SH](=O)=O)cc1",216.28699999999998,"[H]c1c([H])c(S([H])(=O)=O)c([H])c([H])c1N([H])C(=S)N([H])[H]"
1.376,"*C(=O)/C=C/c1ccco1",3,"O=C/C=C/c1ccco1",122.12299999999998,"[H]C(=O)/C([H])=C(\[H])c1oc([H])c([H])c1[H]"
0.535,"*C(=O)C(*)C",3,"CCC=O",58.08,"[H]C(=O)C([H])([H])C([H])([H])[H]"
0.36,"*CCC(=O)O",2,"CCC(=O)O",74.079,"[H]OC(=O)C([H])([H])C([H])([H])[H]"
1.442,"*CC=C",2,"C=CC",42.080999999999996,"[H]C([H])=C([H])C([H])([H])[H]"
-0.773,"*CCCN*",2,"CCCN",59.11199999999999,"[H]N([H])C([H])([H])C([H])([H])C([H])([H])[H]"
-0.06,"*NCc1ccco1",2,"NCc1ccco1",97.11699999999998,"[H]c1oc(C([H])([H])N([H])[H])c([H])c1[H]"
2.187,"*C(=O)CCC(*)c1nc2ccccc2s1",2,"O=CCCCc1nc2ccccc2s1",205.282,"[H]C(=O)C([H])([H])C([H])([H])C([H])([H])c1nc2c([H])c([H])c([H])c([H])c2s1"
0.375,"*c1nccs1",2,"c1cscn1",85.131,"[H]c1nc([H])c([H])s1"
1.074,"*C(=O)CCS(=O)(=O)c1ccc(Br)cc1",2,"O=CCCS(=O)(=O)c1ccc(Br)cc1",277.139,"[H]C(=O)C([H])([H])C([H])([H])S(=O)(=O)c1c([H])c([H])c(Br)c([H])c1[H]"
2.119,"*c1cc(*)c2cc(OC)c(OCC3CCNCC3)cc2n1",2,"COc1cc2cccnc2cc1OCC1CCNCC1",272.348,"[H]c1nc2c([H])c(OC([H])([H])C3([H])C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c(OC([H])([H])[H])c([H])c2c([H])c1[H]"
0.837,"*C1CC2(C1)CN(*)C2",2,"C1CC2(C1)CNC2",97.161,"[H]N1C([H])([H])C2(C1([H])[H])C([H])([H])C([H])([H])C2([H])[H]"
0.83,"*N1C(=O)c2ccccc2C1=O",2,"O=C1NC(=O)c2ccccc21",147.13299999999998,"[H]c1c([H])c([H])c2c(c1[H])C(=O)N([H])C2=O"
1.296,"*C(=O)C(*)c1ccccc1",2,"O=CCc1ccccc1",120.15099999999995,"[H]C(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]"
0.488,"*n1cccc1",2,"c1cc[nH]c1",67.091,"[H]c1c([H])c([H])n([H])c1[H]"
1.733,"*C/C=C/C",2,"C/C=C/C",56.108000000000004,"[H]/C(=C(/[H])C([H])([H])[H])C([H])([H])[H]"
