"LogD","All_fragments","Counts","All_fragments_h","AMW","SMILES_H"
-2.286,"*OCC(*)COP(=O)([O-])OCC[N+](C)(C)C",1094,"C[N+](C)(C)CCOP(=O)([O-])OCCCO",241.22399999999993,"[H]OC([H])([H])C([H])([H])C([H])([H])OP(=O)([O-])OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]"
-0.401,"*OC",343,"CO",32.042,"[H]OC([H])([H])[H]"
1.778,"*CC=CC*",318,"CC=CC",56.108000000000004,"[H]C(=C([H])C([H])([H])[H])C([H])([H])[H]"
2.1,"*c1ccccc1",92,"c1ccccc1",78.11399999999999,"[H]c1c([H])c([H])c([H])c([H])c1[H]"
-0.567,"*C=O",84,"C=O",30.026,"[H]C([H])=O"
-0.666,"*n1ccc(=O)[nH]c1=O",30,"O=c1cc[nH]c(=O)[nH]1",112.088,"[H]c1c([H])n([H])c(=O)n([H])c1=O"
1.332,"*C(=O)Cc1c[nH]c2ccccc12",20,"O=CCc1c[nH]c2ccccc12",159.188,"[H]C(=O)C([H])([H])c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12"
0.947,"*CSC",11,"CSC",62.137,"[H]C([H])([H])SC([H])([H])[H]"
0.854,"*C(=O)C=CSC",7,"CSC=CC=O",102.15799999999999,"[H]C(=O)C([H])=C([H])SC([H])([H])[H]"
2.558,"*CCCC(=C)C=C",6,"C=CC(=C)CCC",96.173,"[H]C([H])=C([H])C(=C([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]"
-1.172,"*CC1CO[PH](=O)(=O)O1",5,"CC1CO[PH](=O)(=O)O1",138.059,"[H]C([H])([H])C1([H])OP([H])(=O)(=O)OC1([H])[H]"
1.412,"*CCc1scnc1C",5,"CCc1scnc1C",127.21199999999997,"[H]c1nc(C([H])([H])[H])c(C([H])([H])C([H])([H])[H])s1"
0.781,"*C(Cl)Cl",4,"ClCCl",84.93299999999999,"[H]C([H])(Cl)Cl"
1.697,"*C(=O)c1ccccc1NC",4,"CNc1ccccc1C=O",135.16599999999997,"[H]C(=O)c1c([H])c([H])c([H])c([H])c1N([H])C([H])([H])[H]"
-0.559,"*C(=O)NC",4,"CNC=O",59.068000000000005,"[H]C(=O)N([H])C([H])([H])[H]"
-1.778,"*C(N)N",4,"NCN",46.07299999999999,"[H]N([H])C([H])([H])N([H])[H]"
