"LogD","IDNUMBER","NEW_SMILES","AMW","SMILES_H"
2.966,"F6614-4818","FC1(F)CC12CC1CCC(C2)N1c1ncccn1",251.28,"[H]c1nc(N2C3([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C2(C([H])([H])C2(F)F)C3([H])[H])nc([H])c1[H]"
1.135,"F6657-1503","Cc1noc(C)c1CSC1=NCCCN1",225.31699999999998,"[H]N1C(SC([H])([H])c2c(C([H])([H])[H])noc2C([H])([H])[H])=NC([H])([H])C([H])([H])C1([H])[H]"
2.059,"F6547-1215","Cc1cc(CN(C)C2CCCC2F)no1",212.26799999999997,"[H]c1c(C([H])([H])N(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])F)noc1C([H])([H])[H]"
2.319,"F6438-6360","CN(c1nnc(C2CC2)s1)C1CCCCC1O",253.37099999999995,"[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])N(c1nnc(C2([H])C([H])([H])C2([H])[H])s1)C([H])([H])[H]"
1.688,"F6616-7950","CN(C)c1cc2c(nn1)CCC2",163.22399999999996,"[H]c1c(N(C([H])([H])[H])C([H])([H])[H])nnc2c1C([H])([H])C([H])([H])C2([H])[H]"
-0.019,"F6619-2156","O=C(NC1COCC1F)c1cscn1",216.23700000000002,"[H]c1nc(C(=O)N([H])C2([H])C([H])([H])OC([H])([H])C2([H])F)c([H])s1"
0.702,"F2197-2300","Brc1cnn(CC2CNC2)c1",216.08199999999997,"[H]c1nn(C([H])([H])C2([H])C([H])([H])N([H])C2([H])[H])c([H])c1Br"
2.639,"F6608-1668","N#Cc1cccc(OCC2CC2)n1",174.20299999999997,"[H]c1c(C#N)nc(OC([H])([H])C2([H])C([H])([H])C2([H])[H])c([H])c1[H]"
1.057,"F6541-3321","Cc1cnc(C(=O)NCC2CC2)cn1",191.23399999999998,"[H]c1nc(C([H])([H])[H])c([H])nc1C(=O)N([H])C([H])([H])C1([H])C([H])([H])C1([H])[H]"
2.699,"F6608-0272","CC(C)(C)N1CC(Oc2ncc(Br)cn2)C1",286.173,"[H]c1nc(OC2([H])C([H])([H])N(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C2([H])[H])nc([H])c1Br"
0.363,"F8883-1686","OCc1ccnc(C2CC2)n1",150.18099999999998,"[H]OC([H])([H])c1nc(C2([H])C([H])([H])C2([H])[H])nc([H])c1[H]"
1.086,"F8883-5338","CC(C)C(O)c1ccncc1",151.209,"[H]OC([H])(c1c([H])c([H])nc([H])c1[H])C([H])(C([H])([H])[H])C([H])([H])[H]"
