"LogD","All_fragments","Counts","All_fragments_h","AMW","SMILES_H"
-0.235,"*C(C)=O",1357,"CC=O",44.053,"[H]C(=O)C([H])([H])[H]"
-0.401,"*OC",635,"CO",32.042,"[H]OC([H])([H])[H]"
2.218,"*C(C)C",550,"CCC",44.096999999999994,"[H]C([H])([H])C([H])([H])C([H])([H])[H]"
2.202,"*CC=CC(C)=CC*",57,"CC=CC(C)=CC",96.17299999999999,"[H]C(=C([H])C([H])([H])[H])C(=C([H])C([H])([H])[H])C([H])([H])[H]"
-0.975,"*C(=O)CC(*)=O",16,"O=CCC=O",72.063,"[H]C(=O)C([H])([H])C([H])=O"
0.59,"*CC#C",15,"C#CC",40.065,"[H]C#CC([H])([H])[H]"
2.285,"*C(C)C=C",14,"C=CCC",56.10799999999999,"[H]C([H])=C([H])C([H])([H])C([H])([H])[H]"
1.524,"*C(Br)Br",10,"BrCBr",173.83499999999998,"[H]C([H])(Br)Br"
1.217,"*C=CBr",7,"C=CBr",106.94999999999999,"[H]C([H])=C([H])Br"
0.688,"*c1ccccn1",6,"c1ccncc1",79.10199999999998,"[H]c1nc([H])c([H])c([H])c1[H]"
-1.182,"*CCN*",6,"CCN",45.084999999999994,"[H]N([H])C([H])([H])C([H])([H])[H]"
-0.85,"*C[S+](C)[O-]",6,"C[S+](C)[O-]",78.136,"[H]C([H])([H])[S+]([O-])C([H])([H])[H]"
2.892,"*C(C)(C)C=C",5,"C=CC(C)C",70.13499999999999,"[H]C([H])=C([H])C([H])(C([H])([H])[H])C([H])([H])[H]"
0.884,"*CC=CCl",3,"CC=CCl",76.52600000000001,"[H]C(Cl)=C([H])C([H])([H])[H]"
1.253,"*CI",3,"CI",141.939,"[H]C([H])([H])I"
2.522,"*CSSCC=C",3,"C=CCSSC",120.24199999999999,"[H]C([H])=C([H])C([H])([H])SSC([H])([H])[H]"
0.805,"*CC(C)(C)OO",3,"CC(C)(C)OO",90.12199999999999,"[H]OOC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]"
1.406,"*OCCc1ccccc1",3,"OCCc1ccccc1",122.16699999999996,"[H]OC([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]"
0.441,"*c1cc(=O)cco1",3,"O=c1ccocc1",96.085,"[H]c1oc([H])c([H])c(=O)c1[H]"
-0.886,"*CN(*)C",3,"CNC",45.085,"[H]N(C([H])([H])[H])C([H])([H])[H]"
0.398,"*CC1CO1",2,"CC1CO1",58.08,"[H]C([H])([H])C1([H])OC1([H])[H]"
-1.228,"*NCCSSCCN*",2,"NCCSSCCN",152.28799999999998,"[H]N([H])C([H])([H])C([H])([H])SSC([H])([H])C([H])([H])N([H])[H]"
2.415,"*CC1CC1C=C",2,"C=CC1CC1C",82.14599999999999,"[H]C([H])=C([H])C1([H])C([H])([H])C1([H])C([H])([H])[H]"
0.066,"*CCC(O)C=CC(O)C#C",2,"C#CC(O)C=CC(O)CC",140.182,"[H]C#CC([H])(O[H])C([H])=C([H])C([H])(O[H])C([H])([H])C([H])([H])[H]"
1.123,"*CC(OCC)OCC",2,"CCOC(C)OCC",118.176,"[H]C([H])([H])C([H])([H])OC([H])(OC([H])([H])C([H])([H])[H])C([H])([H])[H]"
-0.3,"*C(=O)C(*)OC",2,"COCC=O",74.07900000000001,"[H]C(=O)C([H])([H])OC([H])([H])[H]"
1.683,"*CC(*)SC",2,"CCSC",76.164,"[H]C([H])([H])SC([H])([H])C([H])([H])[H]"
1.301,"*c1cc(=O)[nH]c2ccccc12",2,"O=c1ccc2ccccc2[nH]1",145.161,"[H]c1c([H])c([H])c2c(c1[H])c([H])c([H])c(=O)n2[H]"
1.815,"*CCNC(=O)c1cc(Br)c[nH]1",2,"CCNC(=O)c1cc(Br)c[nH]1",217.066,"[H]c1c(Br)c([H])n([H])c1C(=O)N([H])C([H])([H])C([H])([H])[H]"
-0.378,"*C(c1cnco1)c1nc(C(O)CC(O)C(O)C(C)O)co1",2,"CC(O)C(O)C(O)CC(O)c1coc(Cc2cnco2)n1",298.295,"[H]OC([H])(c1nc(C([H])([H])c2oc([H])nc2[H])oc1[H])C([H])([H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])[H]"
1.094,"*c1ccco1",2,"c1ccoc1",68.07499999999999,"[H]c1oc([H])c([H])c1[H]"
0.015,"*N=C(CC)C(*)=O",2,"CCC(=N)C=O",85.10599999999998,"[H]N=C(C([H])=O)C([H])([H])C([H])([H])[H]"
0.858,"*C=CC#CC#C",2,"C#CC#CC=C",76.098,"[H]C#CC#CC([H])=C([H])[H]"
1.77,"*c1c(C(=O)O)[nH]c(C(=O)O)c1*",2,"O=C(O)c1ccc(C(=O)O)[nH]1",155.109,"[H]OC(=O)c1c([H])c([H])c(C(=O)O[H])n1[H]"
0.393,"*CCC#N",1,"CCC#N",55.07999999999999,"[H]C([H])([H])C([H])([H])C#N"
