SMILES,DATABASE,ID,PROGRAM,FRAGMENTS,DATASET,PROGRAM_SCORE,SMILES_chiral,SMILES_no_chiral
c1(c(cc2c(c1)CNN2)CC(=O)OC[C@H](CO)NC(=O)C(=C)CN)C(=O)c1cc(cc(c1)Cl)CC(=O)O,LB_DEFLT,LBDEF10_037,LigBuilder,Default,LB_DEFLT10,8.01,C=C(CN)C(=O)N[C@@H](CO)COC(=O)Cc1cc2c(cc1C(=O)c1cc(Cl)cc(CC(=O)O)c1)CNN2,C=C(CN)C(=O)NC(CO)COC(=O)Cc1cc2c(cc1C(=O)c1cc(Cl)cc(CC(=O)O)c1)CNN2
Oc1cccc(c1)NC(=O)NC/C=C/C(=O)[C@H](N)C1=NN=C(O1)CCNC(=O)c1cccc(c1)O,LB_DEFLT,LBDEF03_327,LigBuilder,Default,LB_DEFLT03,7.98,N=C(C(=O)CCCNC(=O)Nc1cccc(O)c1)c1nnc(CCNC(=O)c2cccc(O)c2)o1,N=C(C(=O)CCCNC(=O)Nc1cccc(O)c1)c1nnc(CCNC(=O)c2cccc(O)c2)o1
Oc1cc(ccc1Cl)c1ccc(c(c1)C(=O)CN)CNC/C(=C/CN)/C1=CNC(=N1)CC(=O)O,LB_DEFLT,LBDEF03_136,LigBuilder,Default,LB_DEFLT03,7.96,N=CCC(CNCc1ccc(-c2ccc(Cl)c(O)c2)cc1C(=O)CN)c1c[nH]c(CC(=O)O)n1,N=CCC(CNCc1ccc(-c2ccc(Cl)c(O)c2)cc1C(=O)CN)c1c[nH]c(CC(=O)O)n1
C(=C\C(=O)O)(/CBr)\C1=C(C(=O)OC1)c1cc(c(cc1)CN1C=CC(=C1)CC(=O)O)CCNCO,LB_DEFLT,LBDEF07_016,LigBuilder,Default,LB_DEFLT07,7.57,O=C(O)C=C(CBr)c1coc(O)c1-c1ccc(Cn2ccc(CC(=O)O)c2)c(CCNCO)c1,O=C(O)C=C(CBr)c1coc(O)c1-c1ccc(Cn2ccc(CC(=O)O)c2)c(CCNCO)c1
c1(cc(c2c(c1)CNN2)O)C(=O)c1cc(cc(c1)[C@H](N)C(=C)C1=NC=NN1)C(=O)CC(=O)O,LB_DEFLT,LBDEF10_054,LigBuilder,Default,LB_DEFLT10,7.56,CC(C(=N)c1cc(C(=O)CC(=O)O)cc(C(O)c2cc(O)c3[nH]ncc3c2)c1)c1nc[nH]n1,CC(C(=N)c1cc(C(=O)CC(=O)O)cc(C(O)c2cc(O)c3[nH]ncc3c2)c1)c1nc[nH]n1
C1(=C(NOC1)C[NH3+])[C@@](O)(/C=C/C1=CC=C(N1)COCCC(=O)O)c1cc(cc(c1)NC(=O)N)C[NH2+]C,LB_DEFLT,LBDEF09_031,LigBuilder,Default,LB_DEFLT09,7.52,CNCc1cc(NC(N)=O)cc([C@](O)(C=Cc2ccc(COCCC(=O)O)[nH]2)C2CON=C2CN)c1,CNCc1cc(NC(N)=O)cc(C(O)(C=Cc2ccc(COCCC(=O)O)[nH]2)C2CON=C2CN)c1
C=C[C@H](CN)Nc1nc(nc(n1)N)Nc1cc(ccc1O)C(=O)O,LB_DEFLT,LBDEF05_003,LigBuilder,Default,LB_DEFLT05,7.5,C=C[C@H](CN)N=c1[nH]c(=N)[nH]c(=Nc2cc(C(=O)O)ccc2O)[nH]1,C=CC(CN)N=c1[nH]c(=N)[nH]c(=Nc2cc(C(=O)O)ccc2O)[nH]1
Oc1cc(ccc1Cl)c1cc(cc(c1)C(=C)C1=C(NC(=C1)COCCO)CO)O,LB_DEFLT,LBDEF03_325,LigBuilder,Default,LB_DEFLT03,7.45,C=C(c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1cc(COCCO)[nH]c1CO,C=C(c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1cc(COCCO)[nH]c1CO
Oc1cc(ccc1Cl)c1cc(cc(c1)/C(=C/CCCCC)/C1=CNC(=C1)COCCO)O,LB_DEFLT,LBDEF03_281,LigBuilder,Default,LB_DEFLT03,7.45,CCCCC/C=C(/c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1c[nH]c(COCCO)c1,CCCCCC=C(c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1c[nH]c(COCCO)c1
Oc1cc(ccc1Cl)c1cc(cc(c1)C(=C)C1=C(NC(=C1)COCCO)CCCCC)O,LB_DEFLT,LBDEF03_388,LigBuilder,Default,LB_DEFLT03,7.4,C=C(c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1cc(COCCO)[nH]c1CCCCC,C=C(c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1cc(COCCO)[nH]c1CCCCC
Oc1cc(ccc1Cl)c1cc(cc(c1)C(=C)C1=C(NC(=C1)COCCO)CC)O,LB_DEFLT,LBDEF03_289,LigBuilder,Default,LB_DEFLT03,7.36,C=C(c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1cc(COCCO)[nH]c1CC,C=C(c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1cc(COCCO)[nH]c1CC
Oc1ccc(cc1)CCC/C=C/C[C@H](C(=O)O)C1=COC=C1C(=O)O,LB_DEFLT,LBDEF03_337,LigBuilder,Default,LB_DEFLT03,7.35,O=C(O)c1cocc1C(C/C=C/CCCc1ccc(O)cc1)C(=O)O,O=C(O)c1cocc1C(CC=CCCCc1ccc(O)cc1)C(=O)O
Oc1cc(nc(c1)Cl)[C@H](O)C1=CC(=CN1)C(=O)/C=C/C(=O)OCCC(=O)N(C)c1cc(ccc1Cl)O,LB_DEFLT,LBDEF06_040,LigBuilder,Default,LB_DEFLT06,7.3,CN(C(=O)CCOC(=O)CCC(=O)c1c[nH]c(C(=O)c2cc(=O)cc(Cl)[nH]2)c1)c1cc(O)ccc1Cl,CN(C(=O)CCOC(=O)CCC(=O)c1c[nH]c(C(=O)c2cc(=O)cc(Cl)[nH]2)c1)c1cc(O)ccc1Cl
Oc1cc(nc(c1)Cl)[C@H](O)C1=CC(=C(N1)C#CCO)C(=O)CC,LB_DEFLT,LBDEF06_066,LigBuilder,Default,LB_DEFLT06,7.28,CCC(=O)c1cc(C(O)c2cc(=O)cc(Cl)[nH]2)[nH]c1C#CCO,CCC(=O)c1cc(C(O)c2cc(=O)cc(Cl)[nH]2)[nH]c1C#CCO
Oc1ccc(cc1Cl)NC(=O)Cc1cc(nc(c1)C(N)N)CN(C)CN,LB_DEFLT,LBDEF03_351,LigBuilder,Default,LB_DEFLT03,7.26,CN(CN)Cc1cc(CC(=O)Nc2ccc(O)c(Cl)c2)cc(C(N)N)n1,CN(CN)Cc1cc(CC(=O)Nc2ccc(O)c(Cl)c2)cc(C(N)N)n1
Oc1cc(ccc1Cl)c1cc(cc(c1)C(=C)C1=C(NC(=C1)COCCO)CCC)O,LB_DEFLT,LBDEF03_394,LigBuilder,Default,LB_DEFLT03,7.22,C=C(c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1cc(COCCO)[nH]c1CCC,C=C(c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1cc(COCCO)[nH]c1CCC
c1(c(cc2c(c1)CNN2)CC(=O)OCC(=O)[C@]([NH3+])(CO)CN)C(=O)c1cc(cc(c1)Cl)CC(=O)O,LB_DEFLT,LBDEF10_070,LigBuilder,Default,LB_DEFLT10,7.19,NC[C@@](N)(CO)C(=O)COC(=O)Cc1cc2c(cc1C(=O)c1cc(Cl)cc(CC(=O)O)c1)CNN2,NCC(N)(CO)C(=O)COC(=O)Cc1cc2c(cc1C(=O)c1cc(Cl)cc(CC(=O)O)c1)CNN2
C(=C\C(=O)O)(/CBr)\C1=C(C(=O)OC1)c1cc(c(cc1)CN1C=CC(=C1)CC(=O)O)CN,LB_DEFLT,LBDEF07_023,LigBuilder,Default,LB_DEFLT07,7.18,NCc1cc(-c2c(C(=CBr)CC(=O)O)coc2O)ccc1Cn1ccc(CC(=O)O)c1,NCc1cc(-c2c(C(=CBr)CC(=O)O)coc2O)ccc1Cn1ccc(CC(=O)O)c1
Oc1cc(ccc1Cl)c1cc(cc(c1)/C(=C/CC)/C1=CNC(=C1)COCCO)O,LB_DEFLT,LBDEF03_245,LigBuilder,Default,LB_DEFLT03,7.17,CC/C=C(/c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1c[nH]c(COCCO)c1,CCC=C(c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1c[nH]c(COCCO)c1
Oc1cc(nc(c1)Cl)[C@H](O)C1=CC(=C(N1)CO)C(=O)/C=C/C(=O)OCC(=O)CCCl,LB_DEFLT,LBDEF06_058,LigBuilder,Default,LB_DEFLT06,7.15,O=Cc1[nH]c(C(O)c2cc(=O)cc(Cl)[nH]2)cc1C(=O)CCC(=O)OCC(=O)CCCl,O=Cc1[nH]c(C(O)c2cc(=O)cc(Cl)[nH]2)cc1C(=O)CCC(=O)OCC(=O)CCCl
Oc1ccc(cc1Cl)NC(=O)Cc1ccnc(c1)C(N)(N)C1=CNCNC1,LB_DEFLT,LBDEF03_185,LigBuilder,Default,LB_DEFLT03,7.15,NC(N)(c1cc(CC(=O)Nc2ccc(O)c(Cl)c2)ccn1)C1C=NCNC1,NC(N)(c1cc(CC(=O)Nc2ccc(O)c(Cl)c2)ccn1)C1C=NCNC1
Oc1cc(ccc1Cl)c1cc(cc(c1)C(=C)C1=C(NC(=C1)COCCO)C[NH2+]C)O,LB_DEFLT,LBDEF03_305,LigBuilder,Default,LB_DEFLT03,7.14,C=C(c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1cc(COCCO)[nH]c1CNC,C=C(c1cc(O)cc(-c2ccc(Cl)c(O)c2)c1)c1cc(COCCO)[nH]c1CNC
Oc1cc(nc(c1)Cl)[C@H](O)C1=CC(=C(N1)CO)C(=O)/C=C/C(=O)OCC(=O)CI,LB_DEFLT,LBDEF06_062,LigBuilder,Default,LB_DEFLT06,7.13,O=Cc1[nH]c(C(O)c2cc(=O)cc(Cl)[nH]2)cc1C(=O)CCC(=O)OCC(=O)CI,O=Cc1[nH]c(C(O)c2cc(=O)cc(Cl)[nH]2)cc1C(=O)CCC(=O)OCC(=O)CI
c1(c(cc2c(c1)CNN2)CC(=O)OCC(=O)[C@H]([NH3+])CO)C(=O)c1cc(cc(c1)Cl)CC(=O)O,LB_DEFLT,LBDEF10_055,LigBuilder,Default,LB_DEFLT10,7.13,NC(C=O)C(O)COC(=O)Cc1cc2c(cc1C(=O)c1cc(Cl)cc(CC(=O)O)c1)CNN2,NC(C=O)C(O)COC(=O)Cc1cc2c(cc1C(=O)c1cc(Cl)cc(CC(=O)O)c1)CNN2
N1C(=C(C=C1C(=O)N)CCC1=CC(=C(C(=O)O)O1)[C@@H](O)CCCNCN)C(=O)c1ccc(cc1)Br,LB_DEFLT,LBDEF05_238,LigBuilder,Default,LB_DEFLT05,7.13,NCNCCC[C@H](O)c1cc(CCc2cc(C(N)=O)[nH]c2C(=O)c2ccc(Br)cc2)oc1C(=O)O,NCNCCCC(O)c1cc(CCc2cc(C(N)=O)[nH]c2C(=O)c2ccc(Br)cc2)oc1C(=O)O
c1(cc(c2c(c1)CNN2)O)C(=O)c1cc(cc(c1)[C@H](N)C(=C)C1=NC=NN1)C(=O)NC(=O)N,LB_DEFLT,LBDEF10_048,LigBuilder,Default,LB_DEFLT10,7.12,CC(C(=N)c1cc(C(=O)NC(N)=O)cc(C(O)c2cc(O)c3[nH]ncc3c2)c1)c1nc[nH]n1,CC(C(=N)c1cc(C(=O)NC(N)=O)cc(C(O)c2cc(O)c3[nH]ncc3c2)c1)c1nc[nH]n1
