SMILES,DATABASE,ID,PROGRAM,FRAGMENTS,DATASET,PROGRAM_SCORE,SMILES_chiral,SMILES_no_chiral
OCCCNC(=O)c1cc(nc2cc(n[n]12)C(F)(F)F)-c1ccco1,AB_CDDNMT,ABCDT01_01,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,O=C(NCCCO)c1cc(-c2ccco2)nc2cc(C(F)(F)F)nn12,O=C(NCCCO)c1cc(-c2ccco2)nc2cc(C(F)(F)F)nn12
CC(O)C(=O)OCN=C1NC(=Nc2ccccc12)c1cc(ccc1Br)OC(O)=O,AB_CDDNMT,ABCDT01_02,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,CC(=O)C(O)OCN=c1[nH]c(-c2cc(OC(=O)O)ccc2Br)nc2ccccc12,CC(=O)C(O)OCN=c1[nH]c(-c2cc(OC(=O)O)ccc2Br)nc2ccccc12
CN=C1N=C(NC2=C1C(=O)CC(F)(C2)N1CCN(CC1)C(C)=O)c1ccccc1,AB_CDDNMT,ABCDT01_03,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,CN=c1[nH]c(-c2ccccc2)nc2c1C(=O)CC(F)(N1CCN(C(C)=O)CC1)C2,CN=c1[nH]c(-c2ccccc2)nc2c1C(=O)CC(F)(N1CCN(C(C)=O)CC1)C2
Clc1ccc(cc1)C1=Nc2ccccc2C(N1)=NCCCCCCOC=O,AB_CDDNMT,ABCDT01_04,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,O=COCCCCCCN=c1[nH]c(-c2ccc(Cl)cc2)nc2ccccc12,O=COCCCCCCN=c1[nH]c(-c2ccc(Cl)cc2)nc2ccccc12
CC(=O)NCC=CN1C(NN=C1c1ccccc1)=NCCCCCCOC=O,AB_CDDNMT,ABCDT01_05,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,CC(=O)NCC=Cn1c(-c2ccccc2)n[nH]c1=NCCCCCCOC=O,CC(=O)NCC=Cn1c(-c2ccccc2)n[nH]c1=NCCCCCCOC=O
CCCCNC(c1ccccc1)S(=O)(=O)Cc1ccc(s1)C(=O)NCCl,AB_CDDNMT,ABCDT01_06,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,CCCCNC(c1ccccc1)S(=O)(=O)Cc1ccc(C(=O)NCCl)s1,CCCCNC(c1ccccc1)S(=O)(=O)Cc1ccc(C(=O)NCCl)s1
CN=C1NC(=NC(=C1)c1ccco1)c1cc(ccc1Br)OC=O,AB_CDDNMT,ABCDT01_07,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,CN=c1cc(-c2ccco2)[nH]c(-c2cc(OC=O)ccc2Br)n1,CN=c1cc(-c2ccco2)[nH]c(-c2cc(OC=O)ccc2Br)n1
CCCCCNC(CCCCCCOC=O)S(=O)(=O)Cc1ccc(s1)C(=O)NCCl,AB_CDDNMT,ABCDT01_08,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,CCCCCNC(CCCCCCOC=O)S(=O)(=O)Cc1ccc(C(=O)NCCl)s1,CCCCCNC(CCCCCCOC=O)S(=O)(=O)Cc1ccc(C(=O)NCCl)s1
NCC(CC1CC1)CC1CN(C1)C1=COc2cc(ccc2C1=O)C=CCOC(O)=O,AB_CDDNMT,ABCDT01_09,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,NCC(CC1CC1)CC1CN(c2coc3cc(C=CCOC(=O)O)ccc3c2=O)C1,NCC(CC1CC1)CC1CN(c2coc3cc(C=CCOC(=O)O)ccc3c2=O)C1
CN1CC(OC=O)C(C1)N=C1NN=C(N1c1cccc(c1)C)c1ccccc1,AB_CDDNMT,ABCDT01_10,AlvaBuilder,ChemDiv DNMT,AB_CDDNMT01,1,Cc1cccc(-n2c(-c3ccccc3)n[nH]c2=NC2CN(C)CC2OC=O)c1,Cc1cccc(-n2c(-c3ccccc3)n[nH]c2=NC2CN(C)CC2OC=O)c1
